Name,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,Known_Allergen
MANUAL3AllergenGald6vitellogeninIpartialGallusgallus,4.731,6.083,6.421,6.759,3.041,4.393,3.041,5.069,8.111,5.407,1.352,5.069,3.041,2.366,3.041,10.476,6.759,8.786,1.014,1.352,0.125,0.104,0.592,0.065,0.595,0.235,0.081,0.071,0.56,0.45,0.461,0.588,0.013,0.426,0.456,0.058,0.065,0.133,0.125,0.206,0.542,0.117,0.762,0.585,0.259,0.081,0.288,0.173,0.655,0.102,1
FG4387151AllergenActd9profilinActinidiadeliciosa,7.924,0.88,4.402,6.163,2.641,12.327,0.88,9.685,5.283,5.283,3.522,2.641,5.283,5.283,0.88,5.283,7.044,4.402,1.761,4.402,0.322,0.433,0.953,0.269,0.213,0.428,0.309,0.073,0.435,0.091,0.101,0.298,0.128,0.344,1.186,0.425,0.228,0.542,0.732,0.956,0.543,0.524,0.062,0.236,0.374,0.559,0.398,0.337,0.248,0.238,1
CAA328351AllergenBosd5betalactoglobulinBostaurus,10.154,3.949,6.205,9.026,1.692,2.257,1.128,5.641,9.026,15.232,2.821,2.821,4.513,5.641,1.692,3.949,5.077,6.205,1.128,2.257,0.385,0.316,0.476,0.123,0.092,0.084,0.021,0.298,0.35,0.23,0.229,0.429,0.379,0.171,0.155,0.308,0.615,0.008,0.238,0.257,0.11,0.205,0.581,0.088,0.085,0.271,0.383,0.114,0.384,0.73,1
CAA687201AllergenCanf5arginineesteraseCanisfamiliaris,5.706,4.565,3.804,5.706,2.282,8.749,3.424,3.424,6.847,10.271,3.424,3.424,6.847,3.424,3.424,5.706,5.706,7.228,3.043,1.902,0.029,0.434,0.179,0.111,0.101,0.252,0.015,0.09,0.181,0.69,0.196,0.29,0.042,0.109,0.196,0.211,0.077,0.438,0.144,0.139,0.705,0.472,0.418,0.222,0.244,0.26,0.608,0.215,0.115,0.601,1
CAA260381AllergenApim4melittinApismellifera,12.065,0,2.194,7.677,2.194,4.387,0,5.484,4.387,6.581,2.194,1.097,7.677,2.194,2.194,2.194,2.194,7.677,1.097,3.29,1.048,0.653,0.48,0.374,1.164,0.614,1.385,1.634,1.258,0.71,1.918,1.458,0.789,0.348,0.733,0.216,0.975,0.123,1.145,1.342,0.877,0.723,1.462,1.068,0.326,0.282,0.4,0.4,0.596,0.062,1
CAA356921AllergenDerp5unknownDermatophagoidespteronyssinus,5.047,0,7.571,10.725,5.678,3.155,1.893,8.833,12.618,9.464,5.047,2.524,1.893,3.785,3.785,1.893,2.524,5.047,0,1.893,0.517,0.932,0.176,0.23,0.187,0.267,0.013,0.596,0.055,0.503,0.008,0.987,0.628,1.191,0.345,0.528,0.132,1.015,0.514,0.828,0.343,0.135,0.099,0.284,0.433,0.711,0.03,0.387,0.312,0.912,1
CAA344861AllergenActd1cysteineproteaseactinidinActinidiadeliciosa,5.79,1.762,5.035,5.79,4.28,9.566,1.007,5.79,4.28,6.042,1.51,6.797,3.524,3.273,3.524,7.301,7.049,5.79,2.014,5.538,0.071,0.399,0.388,0.27,0.256,0.4,0.085,0.209,0.447,0.154,0.189,0.381,0.377,0.132,0.745,0.311,0.108,0.051,0.405,0.607,0.455,0.235,0.041,0.298,0.176,0.461,0.232,0.096,0.011,0.577,1
CAA467821AllergenBrar12SabluminBrassicarapa,5.93,4.313,2.695,5.93,4.852,4.852,2.695,2.695,4.852,8.086,2.695,3.235,7.008,14.017,3.774,5.93,5.391,4.313,1.078,1.617,0.297,0.137,0.77,0.255,0.456,0.025,0.416,0.14,0.128,0.577,0.142,0.443,0.504,0.117,0.403,0.238,0.398,0.524,0.337,0.475,0.127,0.415,0.225,0.113,0.368,0.037,0.154,0.224,0.083,0.281,1
CAA338871AllergenBetv1pathogenesisrelatedproteinPR10Betv1likeproteinBetulapendula,6.752,0,5.525,8.594,4.911,8.594,2.455,7.98,9.208,5.525,1.228,5.525,4.911,1.228,1.842,6.752,5.525,7.366,0,4.297,0.899,0.688,0.335,0.116,0.092,0.671,0.47,0.119,1.107,0.101,0.262,0.057,0.674,0.352,0.379,0.211,0.352,0.428,0.082,0.385,0.476,0.504,0.281,0.369,0.129,0.032,0.461,0.244,0.446,0.568,1
CAA356911PutativeBetaconglycininalphasubunitlikeGlycinemax,4.009,0.716,4.009,11.455,4.296,3.723,1.146,4.439,5.012,7.732,0.43,6.014,5.728,6.73,6.873,6.444,1.575,3.866,0.286,2.148,0.687,1.311,0.074,0.211,0.294,0.489,1.008,1.298,0.206,0.522,0.177,0.417,0.903,1.232,0.173,0.184,0.069,0.28,0.405,0.9,0.138,0.367,0.44,0.788,0.503,1.039,0.053,0.082,0.023,0.03,1
